log2FoldChange	ENTREZID	SYMBOL
9.82053247030805	6373	CXCL11
9.534645019644	3627	CXCL10
8.79564220199446	3620	IDO1
8.76371769862085	8638	OASL
8.62565097968561	8743	TNFSF10
8.10589707098369	115361	GBP4
7.69104186090626	91543	RSAD2
7.5598110032406	3669	ISG20
7.48559301616263	3433	IFIT2
7.2368832181676	55008	HERC6
7.01767473421529	9636	ISG15
6.27706377026124	3437	IFIT3
5.91424961575438	94240	EPSTI1
5.35603031314013	9068	ANGPTL1
4.27107260050747	2633	GBP1
3.93786564751206	5359	PLSCR1
3.67251504356553	1368	CPM
3.57355112473422	3659	IRF1
9.30180356439161	6355	CCL8
4.82707053895003	7128	TNFAIP3
3.80257465920189	25939	SAMHD1
5.70202479638698	11274	USP18
5.23657996959723	80833	APOL3
2.59875204520107	4615	MYD88
5.6724580647888	64135	IFIH1
4.89179247884679	6648, 100129518	SOD2, LOC100129518
6.571815737585	7097	TLR2
6.05506761046412	3965	LGALS9
7.0129963419356	9235	IL32
2.92316510994558	151636	DTX3L
3.98890316312347	54739	XAF1
2.30346887101991	9589	WTAP
3.40752080473408	2635	GBP3
5.70531349742842	9473	THEMIS2
4.3890043692148	7098	TLR3
3.72586532202681	2766	GMPR
6.34766199561039	1520	CTSS
4.58817776874796	23586	DDX58
2.30013465238579	8837	CFLAR
3.15478254669509	284021	MILR1
3.11378772431127	197259	MLKL
5.0926529170292	2634	GBP2
7.00425925437881	51191	HERC5
4.54839134952867	55601	DDX60
5.37525738119517	4600	MX2
3.41023937858283	4792	NFKBIA
6.70141267221182	129607	CMPK2
5.92771741702333	3434	IFIT1
9.23450439912532	4283	CXCL9
4.94388450874321	684	BST2
-3.3008786744852	2149	F2R
7.98702089460155	10673	TNFSF13B
2.03945998981692	3428	IFI16
2.7850885045367	5971	RELB
6.1866657562035	10561	IFI44
3.2994742967718	7127	TNFAIP2
5.27870461134169	3575	IL7R
2.48564337381268	51280	GOLM1
4.27094426192365	85441	HELZ2
4.75019599541734	2537	IFI6
6.05927924623971	8626	TP63
3.41646740217403	79651	RHBDF2
5.13803474341785	58191	CXCL16
3.87296698124412	54625	PARP14
3.66360669858331	6583	SLC22A4
4.51948318211154	9830	TRIM14
5.84080917969262	4939	OAS2
6.9261293897854	64108	RTP4
1.47673550382907	9683	N4BP1
2.10617191710198	950	SCARB2
2.40547994615445	9953	HS3ST3B1
5.40226153688575	25801	GCA
6.36707838004525	4940	OAS3
4.17921390383732	55281	TMEM140
3.5046908124788	11119	BTN3A1
2.71591259660585	23424	TDRD7
4.79708957442504	219285	SAMD9L
2.50112009243782	84870	RSPO3
4.90014475484873	10068	IL18BP
4.53257421037002	29126	CD274
6.05837501064925	3553	IL1B
-4.36579017556958	288	ANK3
2.47076080491669	5641	LGMN
5.17293781453452	51296	SLC15A3
3.2016667146818	79132	DHX58
7.20340752132943	3429	IFI27
2.53964169631848	10346	TRIM22
4.70851342841307	10964	IFI44L
3.32750301052092	134285	TMEM171
-4.43208379988386	359845	FAM101B
2.22664348285711	103	ADAR
2.04695164270876	79827	CLMP
3.44218413242105	57687	VAT1L
3.2084389224973	7318	UBA7
6.1006034362848	400759	GBP1P1
4.35293408428841	8605	PLA2G4C
4.43718064896198	3673	ITGA2
2.70249825452483	87178	PNPT1
2.55845269161717	55905	RNF114
5.60150443118278	3557	IL1RN
1.3682505850659	10019	SH2B3
3.04651504939723	26270	FBXO6
5.31127311501192	60489	APOBEC3G
3.91690403468576	9246	UBE2L6
2.40812586736302	9404	LPXN
4.57930781276589	6376	CX3CL1
-2.54426844665645	399947	C11orf87
-1.76020571038101	8761	PABPC4
4.45234603271431	3430	IFI35
3.42889438298549	51056	LAP3
-2.021513668517	8793	TNFRSF10D
4.02020325655418	4312	MMP1
2.39749975296093	127544	RNF19B
5.50920390256788	9076	CLDN1
4.02016106354949	834	CASP1
-2.06998648930399	6444	SGCD
3.94061943671034	64761	PARP12
3.4775233932884	1837	DTNA
7.2659388456401	116071	BATF2
4.68762770743555	51513	ETV7
2.31918483596513	54877	ZCCHC2
4.53573218114241	7980	TFPI2
2.28755767516582	4791	NFKB2
4.62419958646449	51703	ACSL5
1.92346825560914	3005	H1F0
2.67570960924508	10544	PROCR
2.75265819856734	147645	VSIG10L
2.77803461886566	624	BDKRB2
7.35846306741294	3601	IL15RA
-2.75296068372857	10631	POSTN
6.70315085667057	65987, 100532726	KCTD14, NDUFC2-KCTD14
7.41601738028441	5979	RET
2.77841239488169	4794	NFKBIE
2.93504494583171	23516	SLC39A14
8.2353168754577	260436	FDCSP
2.52274443296143	843	CASP10
2.38390583237193	7453	WARS
3.42790615706442	83666	PARP9
2.91047072734099	57559	STAMBPL1
-2.0419621090289	7267	TTC3
4.51370028330829	2643	GCH1
4.25926773821338	85449	KIAA1755
-1.53704932064025	10160	FARP1
1.91416667140529	80021	TMEM62
3.15377418799987	5175	PECAM1
-2.60356183862565	619279	ZNF704
-1.92333495684772	79786	KLHL36
2.14830735282682	55332	DRAM1
2.81529152705587	26872	STEAP1
-3.72931886014052	23657	SLC7A11
3.98959615512135	6890	TAP1
-2.44966448570022	4628	MYH10
-1.96856089698477	2273	FHL1
8.02411566908146	952	CD38
2.01413877539999	11174	ADAMTS6
3.88613167416642	3791	KDR
3.22769406201894	6737	TRIM21
1.86980898948755	8548	BLZF1
2.34336492916942	3107	HLA-C
2.80834005507219	57674	RNF213
-2.29739359596153	48	ACO1
2.22980582590802	10475	TRIM38
2.4163056932856	1848	DUSP6
5.22119174399567	7130	TNFAIP6
-1.70210388695495	55075	UACA
2.21745550090896	140691	TRIM69
7.26990954832172	330	BIRC3
3.46057545647301	3959	LGALS3BP
-2.67902536142695	158471	PRUNE2
8.48731852998696	3576	CXCL8
1.76850458351512	1267	CNP
2.2573430481035	57169	ZNFX1
2.26153086800045	5157	PDGFRL
2.34488205506738	3717	JAK2
-1.68720373484543	63917	GALNT11
5.16632089700725	8519	IFITM1
8.39476865575814	84419	C15orf48
-3.24817638620139	59	ACTA2
1.38711652411953	9491	PSMF1
5.12732018298519	6398	SECTM1
-2.43165038086796	222166	MTURN
