log2FoldChange	ENTREZID	SYMBOL
9.32530170167264	8638	OASL
9.3084460511287	91543	RSAD2
9.06497476248663	55008	HERC6
8.824747894194	4599	MX1
8.78066362461619	4938	OAS1
8.77033946632831	4939	OAS2
8.65754210840354	4940	OAS3
8.0503221397631	952	CD38
7.82403599665038	129607	CMPK2
7.46345297824699	9636	ISG15
7.45581445098892	84419	C15orf48
7.25072749713802	3437	IFIT3
7.12119986576571	330	BIRC3
7.08473010358348	11274	USP18
6.897878625026	1520	CTSS
6.67726687077204	64135	IFIH1
6.52380883696108	10964	IFI44L
6.44453487999534	2537	IFI6
6.12884839495467	9235	IL32
6.02261963426219	6372	CXCL6
5.52624004809977	51296	SLC15A3
5.30975885495699	55601	DDX60
5.12423964732387	3430	IFI35
5.12212904298254	6398	SECTM1
5.09695376062987	9603	NFE2L3
5.07896439922012	54739	XAF1
4.9552912763662	1890	TYMP
4.77627374451641	85441	HELZ2
4.74265762476159	23586	DDX58
4.70646999680405	7098	TLR3
4.61401976123632	3383	ICAM1
4.60739950325456	7128	TNFAIP3
4.53823962081519	8519	IFITM1
4.45899995054756	54625	PARP14
4.37805038870842	9830	TRIM14
4.37658094870837	9246	UBE2L6
4.37298848382877	219285	SAMD9L
4.3297028557876	64761	PARP12
4.30805086479059	83666	PARP9
3.97313950401194	25939	SAMHD1
3.90583964657594	84875	PARP10
3.86990184980873	6890	TAP1
3.75469995016394	64167	ERAP2
3.74716419568932	5971	RELB
3.741528168602	7318	UBA7
3.55408491795323	3673	ITGA2
3.54957937103639	4502	MT2A
3.54419826598831	55337	C19orf66
3.44694258342601	79132	DHX58
3.3686933194367	4061	LY6E
3.35853328777514	10384	BTN3A3
3.24324893976946	3106	HLA-B
3.22154683684857	5699	PSMB10
3.20624479089431	151636	DTX3L
3.16541770189955	718	C3
3.1416340017795	51056	LAP3
3.10274758836792	3959	LGALS3BP
2.81739955167198	11119	BTN3A1
2.75971472372503	140691	TRIM69
2.7024406046665	55332	DRAM1
2.63724634173515	3107	HLA-C
2.55971119108919	3133	HLA-E
2.55706936592269	55080	TAPBPL
2.46490325459342	6772	STAT1
-2.43372713076567	48	ACO1
2.39604525547549	5721	PSME2
2.39437166623461	10346	TRIM22
2.31288873611929	5610	EIF2AK2
2.28887823351217	5720	PSME1
1.98344817924769	710	SERPING1
1.82222110500722	4071	TM4SF1
1.76129920322441	51752	ERAP1
1.55013191477146	7706	TRIM25
2.4590695778974	23286	WWC1
6.51710936423698	3434	IFIT1
2.11855284530523	5641	LGMN
2.58735363419149	4791	NFKB2
2.57664533219329	4343	MOV10
9.17699820531043	3620	IDO1
5.15348670509349	55281	TMEM140
5.48383887508841	7097	TLR2
4.55706147062546	58191	CXCL16
-2.55842573858771	8793	TNFRSF10D
8.0744000729967	51191	HERC5
8.72130204523106	8743	TNFSF10
6.431235106454	3075	CFH
3.03139101689647	6737	TRIM21
2.08325350734191	716	C1S
1.2581214243202	23070	CMTR1
8.20764477816363	3429	IFI27
2.75506503889028	80830	APOL6
2.04971460626433	103	ADAR
2.28743377373041	3918	LAMC2
4.45812537337321	9068	ANGPTL1
-1.58877235391155	1152	CKB
7.30448357433976	3433	IFIT2
-2.32992648802107	259232	NALCN
7.30123604741539	3965	LGALS9
7.09218452430294	94240	EPSTI1
7.11748571590972	64108	RTP4
1.8691628513554	950	SCARB2
6.28014564129151	3569	IL6
3.44995971929591	5359	PLSCR1
2.83332516110897	197259	MLKL
-1.9588871653329	256691	MAMDC2
6.74072238827567	10561	IFI44
2.52647424693848	58472	SQRDL
-1.0890164523384	144348	ZNF664
3.58811001441644	9111	NMI
2.89814102564931	5764	PTN
3.63392974411776	54809	SAMD9
3.09352508897138	284021	MILR1
-2.05205399289999	647979	NORAD
4.23313298454024	2643	GCH1
-1.30193016703304	10160	FARP1
-1.23479655410589	8476	CDC42BPA
4.09927622435207	8605	PLA2G4C
-1.01806398412037	6275	S100A4
-1.1522100923741	4644	MYO5A
-0.944115935782158	5781	PTPN11
-1.44107905151297	5955	RCN2
4.38991869605735	9473	THEMIS2
3.32115806394064	2766	GMPR
2.70997216322928	5696	PSMB8
5.0800648727335	3902	LAG3
-1.53378136695459	143686	SESN3
1.07702118769823	64750	SMURF2
4.23307537227943	80833	APOL3
2.17026218785259	4615	MYD88
1.65277297075755	10105	PPIF
1.86813986442851	6773	STAT2
-2.19611242531362	83989	FAM172A
2.4406137605217	10475	TRIM38
2.59784660628313	7056	THBD
2.8847844750227	91351	DDX60L
1.58819756721813	7133	TNFRSF1B
7.90114958050676	10673	TNFSF13B
2.14352795356494	6672	SP100
4.03096578329858	9420	CYP7B1
2.44424666943024	10544	PROCR
1.74297870323263	5329	PLAUR
-1.60975651472066	4628	MYH10
5.84580938202356	5920	RARRES3
-1.80961612964039	81493	SYNC
1.37677612757718	1267	CNP
1.86341387401643	85363	TRIM5
2.73212668772808	340061	TMEM173
2.15002078386435	7453	WARS
3.05525482713082	3659	IRF1
2.32757402947	11118	BTN3A2
6.98320953326874	51458	RHCG
1.61776203752326	23764	MAFF
4.48358207188539	6648, 100129518	SOD2, LOC100129518
-2.34649941872975	64943	NT5DC2
-1.06919838372732	22836	RHOBTB3
-1.76946862025879	2273	FHL1
1.48838601815103	80021	TMEM62
1.46850692492884	80017	C14orf159
0.995035482018823	9961	MVP
-1.39046859383442	3778	KCNMA1
6.10984168699777	3601	IL15RA
1.983434088165	4907	NT5E
2.99028867950284	57664	PLEKHA4
-1.17109335515123	9644	SH3PXD2A
3.39378597649755	29126	CD274
3.32276060698604	6891	TAP2
-1.23221061013851	94239	H2AFV
1.19680925941441	960	CD44
5.32316465109279	3665	IRF7
2.24714111219793	6892	TAPBP
7.56135784686178	3576	CXCL8
7.73762026025427	115362	GBP5
1.00728711621041	54676	GTPBP2
1.56923877945162	567	B2M
-1.33138244673841	11165	NUDT3
4.63120622825811	7127	TNFAIP2
3.17729278697072	51513	ETV7
2.77832214449378	23424	TDRD7
-1.6263576476222	113146	AHNAK2
1.00064492118521	8507	ENC1
3.07863737621549	10068	IL18BP
2.40859357322084	56938	ARNTL2
1.74178699861673	9052	GPRC5A
2.48278435259551	5366	PMAIP1
2.15369343320854	3105	HLA-A
-1.90800921330493	10335	MRVI1
1.58457280134016	131578	LRRC15
-1.53723391870242	1728	NQO1
-3.09604360219764	359845	FAM101B
1.06909083806818	25825	BACE2
1.26778353423418	2907	GRINA
1.91701268253368	715	C1R
2.51880443391663	2635	GBP3
7.15459000835402	2919	CXCL1
4.67075062565283	3552	IL1A
-1.13482525888038	2512	FTL
2.18836656055251	10791	VAMP5
2.45240391977115	3037	HAS2
-1.17053370731945	5793	PTPRG
6.29936526558448	115361	GBP4
1.41402349870232	124446	TMEM219
1.42925393427528	219988	PATL1
0.897504600737469	6574	SLC20A1
4.87465035563752	4321	MMP12
-1.7977251223637	7267	TTC3
1.12178094795644	2595	GANC
1.60041732448071	11054	OGFR
2.69224231197394	57674	RNF213
-1.07947849302979	257194	NEGR1
1.51939353025624	3005	H1F0
-1.43979287915866	55752	SEPT11
-0.82943433096886	64924	SLC30A5
2.83585724953738	4792	NFKBIA
1.75171528507708	10410	IFITM3
0.739168974132119	4779	NFE2L1
1.53071408867909	841	CASP8
3.4062572430914	2633	GBP1
-0.995827846195421	79786	KLHL36
7.53452765260472	259307	IL4I1
2.96739165124445	3656	IRAK2
-1.17589700786569	222658	KCTD20
2.2523263749295	6583	SLC22A4
-0.82999716054444	2932	GSK3B
1.22267377395973	5819	NECTIN2
4.54276644834902	7185	TRAF1
0.895998503117266	961	CD47
-1.76293909128807	6640	SNTA1
-0.538833116191222	5048	PAFAH1B1
3.14765473856827	9388	LIPG
1.5249745055531	11174	ADAMTS6
2.7580524451444	10318	TNIP1
0.762511083108513	114908	TMEM123
-1.08032019647383	5567	PRKACB
0.656503988293777	3678	ITGA5
-1.38742906296609	59	ACTA2
7.52054130365098	6364	CCL20
8.01181902455322	6373	CXCL11
1.95799260289905	162394	SLFN5
1.84814401605833	26872	STEAP1
-1.4580813100586	113026	PLCD3
0.786576502141374	9043	SPAG9
1.28768817492277	10616	RBCK1
8.02269025474363	3627	CXCL10
2.6156808861802	26270	FBXO6
2.06673260771859	3428	IFI16
-1.68503109026623	25802	LMOD1
1.63935470689493	4311	MME
1.26073327323657	8775	NAPA
-1.56273018620077	80303	EFHD1
0.823070891692485	23549	DNPEP
-0.895493459159855	5578	PRKCA
-1.40333570797153	8502	PKP4
1.92822816515573	6482	ST3GAL1
-0.982441778917892	10277	UBE4B
5.51119963470558	5698	PSMB9
-0.635920127025833	57534	MIB1
1.4933958383441	93349	SP140L
0.791959757053946	6774	STAT3
-1.4459283578028	138151	NACC2
2.12983300777849	80774	LIMD2
2.37937037888193	84166	NLRC5
0.857301671968793	868	CBLB
3.0895129137818	467	ATF3
5.6618944196661	25801	GCA
0.972295096756532	6778	STAT6
-0.745687646582679	79794	C12orf49
6.82597012055591	116071	BATF2
2.09293080206542	84069	PLEKHN1
-0.667381188600345	57488	ESYT2
1.63280566899171	80380	PDCD1LG2
1.39480506913687	9683	N4BP1
1.12869865394049	57476	GRAMD1B
1.70658734914965	79974	CPED1
2.18074574464165	7424	VEGFC
-1.50809952594976	64781	CERK
1.46621191114905	9429	ABCG2
1.35826963161908	10581	IFITM2
3.29761952399291	3431	SP110
1.80322136891581	9404	LPXN
1.6609628851642	5371	PML
-1.15309941239829	51201	ZDHHC2
2.48183937676161	114897	C1QTNF1
-1.66852178666497	222166	MTURN
4.82292174081586	6347	CCL2
1.55820235695065	11259	FILIP1L
-0.659517772827325	26994	RNF11
-1.29508095633171	116987	AGAP1
-0.77533628953521	80854	SETD7
-1.46339765082195	1955	MEGF9
2.5548453668471	8111	GPR68
4.93729518362237	3553	IL1B
1.28109555219585	22943	DKK1
-0.700627829053464	100505641	FGD5-AS1
2.90610888411876	8995	TNFSF18
6.09763609035007	4600	MX2
3.88598740492271	3290	HSD11B1
2.95167007403849	196883	ADCY4
1.54808043588277	6875	TAF4B
1.34431344316488	51510	CHMP5
1.23860886183233	50515	CHST11
-1.20751306608323	2744	GLS
-1.42685084678815	2201	FBN2
6.42611215000942	3669	ISG20
1.22766678529763	9725	TMEM63A
2.33629436049145	81622	UNC93B1
0.7754134410029	10488	CREB3
2.58917932333692	147645	VSIG10L
-0.756561387227199	1793	DOCK1
1.96127532906194	81894	SLC25A28
1.09938386882294	10186	LHFP
1.61881450223615	8970	HIST1H2BJ
2.87112302469831	4794	NFKBIE
-2.85079979977935	3752	KCND3
4.61456628027868	834	CASP1
1.65834581328215	5327	PLAT
5.82940486579922	6374	CXCL5
1.26896760030434	64866	CDCP1
-0.66813732916379	7812	CSDE1
7.01172329008689	8626	TP63
2.15869728000119	5874	RAB27B
4.63967053921682	51703	ACSL5
-0.840953815867961	5576	PRKAR2A
1.38202090387043	10133	OPTN
4.36321649143316	958	CD40
-0.73916691247968	23022	PALLD
-0.555158784536877	387	RHOA
1.42072402913154	83648	FAM167A
2.0888568117174	57169	ZNFX1
1.32770198472231	3660	IRF2
-0.904816154610093	813	CALU
1.02326366805146	6091	ROBO1
5.31607027397444	60489	APOBEC3G
-1.96528034158847	619279	ZNF704
-0.938290260355581	3632	INPP5A
-0.565081480299592	10971	YWHAQ
-0.914430612931058	55959	SULF2
5.25951811495323	685	BTC
1.55653569696878	837	CASP4
1.55865275145319	10371	SEMA3A
-1.11930783639535	23468	CBX5
3.14827726386048	5452	POU2F2
1.62879485871785	9641	IKBKE
4.27914528237593	924	CD7
5.43257576147034	2069	EREG
-0.905097988831488	57157	PHTF2
1.90735231260616	79668	PARP8
1.86871349357839	54877	ZCCHC2
4.91201433998602	440836	ODF3B
2.20311587335098	200316	APOBEC3F
7.23633278370689	6352	CCL5
-1.59864922444127	4919	ROR1
-0.983118188795375	287	ANK2
7.45895515192891	6401	SELE
6.06086485162062	684	BST2
1.43720782293937	965	CD58
1.61557883024206	5787	PTPRB
0.621932962351031	22800	RRAS2
6.8338597536103	5979	RET
-1.38873866913683	727936	GXYLT2
1.80476419992217	135112	NCOA7
-0.74081728365147	1836	SLC26A2
1.40843646651783	329	BIRC2
-0.643929582522846	1112	FOXN3
1.00531639902115	57561	ARRDC3
1.29621932009719	9491	PSMF1
1.02140204930553	3140	MR1
0.907866791615529	55741	EDEM2
-1.37119825626157	8139	GAN
1.00288855916253	578	BAK1
2.20201296033926	84223	IQCG
1.15965089648733	54972	TMEM132A
-1.17602437039902	9581	PREPL
1.50909369429033	143903	LAYN
-1.96003440702469	157869	SBSPON
-0.972208696683691	23048	FNBP1
-1.03790265230424	1301	COL11A1
0.855853684586494	79572	ATP13A3
-1.09385584889369	9638	FEZ1
-1.15063824131765	3020	H3F3A
4.97670507125377	6376	CX3CL1
-1.02812665620441	10905	MAN1A2
1.06229733526396	29950	SERTAD1
-1.40932431943179	3899	AFF3
1.83904004810886	87178	PNPT1
-2.42738637180696	11185	INMT
-0.876569666414204	5316	PKNOX1
-1.37889115589207	1122	CHML
0.955572904063406	64399	HHIP
0.903333151637833	10938	EHD1
2.16355622629283	283383	ADGRD1
0.863794508289708	10970	CKAP4
-0.899664766984518	5825	ABCD3
-1.27874493233668	85352	KIAA1644
-1.4704191038668	81035	COLEC12
-1.14853234311465	64418	TMEM168
4.84424428834473	9076	CLDN1
-2.16576301231723	8436	SDPR
-0.693722412008425	7155	TOP2B
3.64466359104528	27074	LAMP3
0.745337179320617	9903	KLHL21
2.14134851316294	9881	TRANK1
-1.51370893124079	3306	HSPA2
1.22318940951368	375790	AGRN
-2.52460501839078	55924, 101928718	FAM212B, LOC101928718
1.03532325073902	53	ACP2
1.64146346423037	56479	KCNQ5
-0.584352901239231	55740	ENAH
1.51840458021108	51131	PHF11
1.05370267434998	644815	FAM83G
1.5246818792015	64651	CSRNP1
-1.37083043065834	83872	HMCN1
0.780253028665957	55577	NAGK
7.02875421260005	9447	AIM2
2.28048640361873	24138	IFIT5
3.39935184371051	93664	CADPS2
1.51750736335698	3017	HIST1H2BD
1.30657482227957	9848	MFAP3L
1.18356701257524	390	RND3
1.78376338900404	79827	CLMP
1.30048621706257	637	BID
1.8586927950809	59350	RXFP1
-1.05016809397652	55002	TMCO3
-0.808656346507657	7029	TFDP2
2.1178774245562	4884	NPTX1
2.40369465375992	1848	DUSP6
2.6398475827794	4312	MMP1
1.58740877680038	10507	SEMA4D
-0.867050095470878	7414	VCL
-0.615248792500252	3685	ITGAV
6.4701106513933	93082	NEURL3
-0.69131607298278	93380	MMGT1
-0.844753094385327	389136	VGLL3
3.67489181207737	140876	FAM65C
-2.05308054376816	134145	FAM173B
0.819081331107571	8614	STC2
-1.37254065787552	5802	PTPRS
1.7737343960513	55905	RNF114
-0.713014957623742	9917	FAM20B
-0.825021751007989	134218	DNAJC21
2.91990452090194	4493	MT1E
-0.874101427185612	1410	CRYAB
-0.503408436223952	83871	RAB34
-1.35968708273962	81606	LBH
2.38011613265033	256586	LYSMD2
4.04440134011646	81796	SLCO5A1
-1.16166112956691	64718	UNKL
-0.668633264038163	4921	DDR2
-1.35769931104742	84216	TMEM117
2.53855901624394	4192	MDK
-1.33172978464025	3418	IDH2
3.36156447670651	64116	SLC39A8
1.22512974395083	10509	SEMA4B
-1.34640630248472	11075	STMN2
-1.36103771795288	27129	HSPB7
0.87546938341621	1806	DPYD
2.54764210470249	55214	P3H2
4.70330562803653	51365	PLA1A
-0.939094871009549	117583	PARD3B
3.87344883834313	57639	CCDC146
1.09249683341657	8763	CD164
-0.76940769718235	1975	EIF4B
1.58146023679264	8548	BLZF1
-1.91535898637344	3691	ITGB4
2.25198023700101	134285	TMEM171
-0.801720466158753	3983	ABLIM1
-0.803967582077628	147991	DPY19L3
-0.609355717678244	55884	WSB2
0.791924255437662	214	ALCAM
-0.732362056081641	439921	MXRA7
-0.697855180360224	11034	DSTN
4.64537530213073	400759	GBP1P1
1.65615891266349	9123	SLC16A3
-1.14130008890905	10000	AKT3
-0.899400477017918	2036	EPB41L1
-0.961935495009908	135228	CD109
0.935439543331062	90627	STARD13
-0.453857567240844	79901	CYBRD1
0.937105150898398	4189	DNAJB9
-1.68533453401915	1264	CNN1
0.846628286401434	1514	CTSL
1.91888352367177	79690	GAL3ST4
-0.630331740672743	824	CAPN2
4.89900071749987	3078	CFHR1
-0.653392761127401	55353	LAPTM4B
1.4029920642842	23780	APOL2
1.96751011469365	8837	CFLAR
-0.701155525018956	23344	ESYT1
1.01122241294096	1439	CSF2RB
-0.910482940976711	4026	LPP
-1.26526495956488	70	ACTC1
-1.01198694744779	90459	ERI1
-1.52030903186456	64798	DEPTOR
0.767021468477832	211	ALAS1
-0.813210391410952	5797	PTPRM
0.862349050899352	8877	SPHK1
-1.28424555035166	10493	VAT1
0.580749555573251	9792	SERTAD2
0.795772464587506	226	ALDOA
-0.809820341485846	10490	VTI1B
0.772700363114711	55701	ARHGEF40
-1.15693880361793	2191	FAP
1.37931876309008	7378	UPP1
1.18985028527728	123	PLIN2
3.4259558652708	441108	C5orf56
1.83140186356427	126868	MAB21L3
-0.605613531532531	2012	EMP1
-2.09395340185854	51196	PLCE1
-0.617574647356743	51029	DESI2
-0.825241095893516	3927	LASP1
6.05769047394898	56667	MUC13
1.33579032211972	7779	SLC30A1
-2.03359915542929	288	ANK3
1.45531338084513	9746	CLSTN3
