log2FoldChange	ENTREZID	SYMBOL
9.51968548148903	8638	OASL
8.99927857925601	3433	IFIT2
2.64404350059752	162394	SLFN5
4.57507835128591	25939	SAMHD1
5.13372125758572	10068	IL18BP
6.64818274069038	330	BIRC3
7.22704679585952	3437	IFIT3
5.17804536659149	91351	DDX60L
6.29929171580746	9068	ANGPTL1
4.76079640256027	7098	TLR3
5.24654977087884	2633	GBP1
2.36389559458985	8837	CFLAR
6.60337158480506	3557	IL1RN
5.00622295837407	85441	HELZ2
3.05450939211691	57169	ZNFX1
4.64033798468429	10346	TRIM22
6.66302022725299	129607	CMPK2
3.31055987666505	57674	RNF213
3.35166537571724	11119	BTN3A1
6.19757468930667	84419	C15orf48
4.64124808859782	54625	PARP14
9.03300323833393	3965	LGALS9
7.52742436075053	7097	TLR2
7.10102131061117	3669	ISG20
4.99316545608745	8542	APOL1
6.90690409672213	115362	GBP5
5.13187960451946	197259	MLKL
6.0510424807246	400759	GBP1P1
4.51088100992707	6648, 100129518	SOD2, LOC100129518
4.06028267725501	54809	SAMD9
8.77700650293006	91543	RSAD2
3.73109532095639	9111	NMI
4.13688175901885	64761	PARP12
-2.14955264484205	5578	PRKCA
3.74797548333524	5359	PLSCR1
5.40425669266864	115361	GBP4
4.92430591082859	3430	IFI35
3.1214749635023	93349	SP140L
4.88159098941652	219285	SAMD9L
5.99873514862714	100506736	SLFN12L
1.72077307002853	219988	PATL1
2.95386873779286	6772	STAT1
3.60830349088574	85363	TRIM5
2.27701107987765	57520	HECW2
3.73616345052803	9122	SLC16A4
3.19417847357554	151636	DTX3L
8.83595642475579	8743	TNFSF10
3.70183129178759	3659	IRF1
2.24042154484418	103	ADAR
6.15680729676406	9603	NFE2L3
9.34831939522202	6373	CXCL11
3.68009623781093	843	CASP10
2.79721972511645	6773	STAT2
4.76264396767368	29126	CD274
9.17549843210141	3620	IDO1
5.40082039677767	10561	IFI44
6.33671552857625	834	CASP1
8.54876398923567	952	CD38
2.76328127348768	6672	SP100
2.88130496815547	1848	DUSP6
3.39769779972476	10384	BTN3A3
3.33718184896904	7453	WARS
3.60663839797527	65987, 100532726	KCTD14, NDUFC2-KCTD14
2.98011315962678	3107	HLA-C
4.53640578307634	206338	LVRN
7.88217917495665	4940	OAS3
4.71268284293594	7318	UBA7
3.06223879638659	3106	HLA-B
3.01035231570563	23424	TDRD7
4.04327657977394	79651	RHBDF2
8.16927935534436	51191	HERC5
6.47653619946163	1573	CYP2J2
3.48001605892768	51056	LAP3
7.07815000455743	23037	PDZD2
9.13641329824497	3627	CXCL10
2.91542324437712	7058	THBS2
4.66493194817731	8013	NR4A3
2.99569193100186	79817	MOB3B
2.07651549446067	950	SCARB2
1.71439412406873	3988	LIPA
5.06952581381651	24138	IFIT5
4.67332003348108	55281	TMEM140
8.52712700715546	3429	IFI27
6.45052030773612	64135	IFIH1
2.62872391072316	1847	DUSP5
-1.64390853970955	23089	PEG10
3.29249872379409	59350	RXFP1
2.62124897687929	387763	C11orf96
3.78065305923721	83666	PARP9
5.0163023512332	9076	CLDN1
7.10796772271815	55008	HERC6
4.00282119084001	9447	AIM2
3.29901621436241	4615	MYD88
-2.81139803666101	158471	PRUNE2
4.10122197644841	7130	TNFAIP6
7.77015481096904	9636	ISG15
2.81958771857512	2580	GAK
2.12419901377206	1267	CNP
6.79998763124693	56667	MUC13
6.42303370641761	116071	BATF2
4.73812381391936	7128	TNFAIP3
5.30201459689063	25780	RASGRP3
-1.71770230773033	8076	MFAP5
3.19696717558009	10410	IFITM3
2.73809963005912	9567	GTPBP1
2.98795203608781	2635	GBP3
2.99162899599219	87178	PNPT1
3.12011493372172	10135	NAMPT
1.60904119745119	10628	TXNIP
1.60417900921014	51479	ANKFY1
5.91531649512865	54739	XAF1
4.45621304795859	4600	MX2
2.27089526048704	9683	N4BP1
5.97645922869681	94240	EPSTI1
3.83364861189584	6890	TAP1
6.49131184908244	719	C3AR1
-3.15931481362037	359845	FAM101B
8.06763873944265	10673	TNFSF13B
4.98199915070108	9830	TRIM14
3.18645458370855	51251	NT5C3A
6.29650547983095	23586	DDX58
9.1552283358074	219681	ARMC3
4.41907701942654	3673	ITGA2
2.43744742991383	84166	NLRC5
1.97441273235008	23503	ZFYVE26
6.09032270198752	2643	GCH1
7.33948578263773	4036	LRP2
4.44621458646491	3601	IL15RA
2.95904307108012	5641	LGMN
8.69197509228841	5979	RET
6.21989983860011	3576	CXCL8
2.51932615054138	4133	MAP2
2.1469760231998	54877	ZCCHC2
4.16644746107447	2766	GMPR
4.00380293908768	9246	UBE2L6
2.99456617798824	222255	ATXN7L1
-0.945118362689334	7812	CSDE1
5.41954541947923	339416	ANKRD45
3.1988505584263	375790	AGRN
2.74977603220396	5371	PML
2.3152890672298	79690	GAL3ST4
1.87088619893305	2595	GANC
2.30884501173537	5819	NECTIN2
2.97588446396259	6821	SUOX
2.16794357849604	5764	PTN
6.1425228628278	11274	USP18
3.7116373006603	340061	TMEM173
2.64235784599112	3717	JAK2
