log2FoldChange	ENTREZID	SYMBOL
10.5764527087103	91543	RSAD2
9.3867382775293	4599	MX1
9.05853143370553	3433	IFIT2
8.6691969936182	129607	CMPK2
7.92283521793704	115361	GBP4
7.55024995658744	55008	HERC6
7.20807513786999	23586	DDX58
7.17538634649871	3437	IFIT3
6.94394958728832	1520	CTSS
6.67927826454034	11274	USP18
5.97862947168965	4940	OAS3
5.50532968702893	2766	GMPR
4.69195167413963	5359	PLSCR1
4.3873315125004	6648, 100129518	SOD2, LOC100129518
5.17060819913809	64761	PARP12
9.96836552199732	8743	TNFSF10
10.0101227163331	8638	OASL
5.61217037032606	9473	THEMIS2
8.83421688069517	84419	C15orf48
5.10956262152141	10561	IFI44
7.23673376834751	51191	HERC5
8.32822906758824	4600	MX2
10.4674158229449	4938	OAS1
7.92169491820201	3434	IFIT1
7.50890703077942	64135	IFIH1
7.6402757745075	9636	ISG15
6.8402332241837	94240	EPSTI1
6.31361539318431	5979	RET
8.09599342720763	3669	ISG20
4.58373193018297	2633	GBP1
3.84371742905403	4615	MYD88
4.8822554174854	54739	XAF1
7.71227440030519	3965	LGALS9
4.78232055241577	54625	PARP14
7.21714804676508	3569	IL6
7.38983507817655	23037	PDZD2
5.1510096572304	10346	TRIM22
7.0261505587715	2537	IFI6
3.56545161732634	6772	STAT1
4.4388606923995	834	CASP1
3.2628285465579	3659	IRF1
4.39807282743048	9122	SLC16A4
4.2642709273409	25939	SAMHD1
6.54814344940182	7098	TLR3
3.37183227526461	5371	PML
3.32668139512695	85363	TRIM5
8.35414813920196	10964	IFI44L
7.64222949505108	9068	ANGPTL1
4.00253838435612	151636	DTX3L
3.80963840287251	51056	LAP3
3.13658533617912	140691	TRIM69
5.72200682234925	219285	SAMD9L
8.95159282153774	684	BST2
9.27778643560116	10673	TNFSF13B
5.92163369539437	6398	SECTM1
5.70954768382122	51296	SLC15A3
3.56633929969495	9111	NMI
3.90656852201588	10384	BTN3A3
4.6362187954395	60489	APOBEC3G
8.12541579710734	51513	ETV7
4.25003113167198	83666	PARP9
4.40087862411967	9881	TRANK1
10.2066831437269	6373	CXCL11
10.2105443630904	3627	CXCL10
3.96691940999946	25780	RASGRP3
4.40982489286274	91351	DDX60L
-2.97397741108417	64781	CERK
3.27191018400574	87178	PNPT1
6.56123891964419	8542	APOL1
3.32541567971684	11119	BTN3A1
6.27494178912271	2643	GCH1
6.64037955965686	64108	RTP4
4.00596583711382	197259	MLKL
9.53924836645662	3620	IDO1
4.6958724179589	54809	SAMD9
3.46898928819613	2635	GBP3
3.66887405561117	80021	TMEM62
2.92425402829095	10475	TRIM38
4.77892952560842	3431	SP110
2.32309518538407	9567	GTPBP1
3.49595979946468	152926	PPM1K
2.95130511142898	64167	ERAP2
3.3517025016596	6773	STAT2
-2.47101214486698	5578	PRKCA
5.22900459234078	84870	RSPO3
9.33916830423218	259307	IL4I1
7.55264452420901	116071	BATF2
3.59159648584707	23424	TDRD7
3.42328009701407	57169	ZNFX1
4.22366670437717	55601	DDX60
3.30099960169659	9830	TRIM14
2.58246225823493	8548	BLZF1
5.28975397626429	79132	DHX58
2.62070911589981	284996	RNF149
3.59930334875879	23780	APOL2
4.96400299979468	85441	HELZ2
9.28720382907774	730249	ACOD1
2.4104854455379	23516	SLC39A14
2.66139574631064	1435	CSF1
8.26844083938932	400759	GBP1P1
2.24894054770757	51667	NUB1
2.8189011949712	3428	IFI16
2.48156457328064	103	ADAR
2.25973409360952	573	BAG1
2.03246268191959	84930	MASTL
1.71022014228815	55689	YEATS2
1.995774883982	63916	ELMO2
3.78049052612637	5366	PMAIP1
3.38511727070203	57674	RNF213
2.8534055604974	4343	MOV10
9.65401152694275	952	CD38
2.74794928510883	127544	RNF19B
5.87834764167009	7097	TLR2
6.35775136215031	8519	IFITM1
7.86443834279871	27253	PCDH17
2.38557124181381	23503	ZFYVE26
4.35296154577695	7318	UBA7
-3.13638929422811	359845	FAM101B
-3.21905728985114	64943	NT5DC2
4.01153923419573	57168	ASPHD2
5.79960611883736	161145	TMEM229B
5.11640438816738	7128	TNFAIP3
3.061122545768	6672	SP100
3.89397450667683	134285	TMEM171
4.77702653643487	55281	TMEM140
4.43367094189875	10855	HPSE
2.21772518789634	950	SCARB2
3.54586202399133	3656	IRAK2
7.89266524087057	4939	OAS2
1.69930201223652	51280	GOLM1
6.2848329881318	1573	CYP2J2
4.53958504259368	26270	FBXO6
2.41912960974348	5819	NECTIN2
3.33278298527466	58472	SQRDL
2.96101899196315	5641	LGMN
1.99365371470358	840	CASP7
2.22685938443582	8837	CFLAR
3.45166207748758	6737	TRIM21
3.87772369940164	79651	RHBDF2
7.14144510769323	9447	AIM2
5.41629170410427	2919	CXCL1
3.16228669135178	140564	APOBEC3D
3.91041421145394	3959	LGALS3BP
5.4188487362501	1890	TYMP
5.45838443264353	80833	APOL3
5.17050923721722	51703	ACSL5
4.33262422527362	4321	MMP12
2.8333352612894	10135	NAMPT
2.23237753262044	25816	TNFAIP8
2.71122600164125	3575	IL7R
2.53133625521751	6583	SLC22A4
2.11202772320823	9953	HS3ST3B1
5.07505199011193	4499	MT1M
2.56278091231542	1267	CNP
2.16082145476232	9683	N4BP1
6.75471240330556	3576	CXCL8
-1.87163610314123	3149	HMGB3
4.09183166060499	114897	C1QTNF1
1.46994564946047	23258	DENND5A
-2.05392635975203	63917	GALNT11
2.20664812719067	8706	B3GALNT1
3.82834482839264	2634	GBP2
3.26477043245837	5806	PTX3
2.77435659125572	84166	NLRC5
2.28639516383019	1992	SERPINB1
5.26544774198904	3430	IFI35
2.30873261010607	375287	RBM43
5.80238993809385	58191	CXCL16
2.96267053033977	10581	IFITM2
1.64069293435615	23070	CMTR1
2.4643210209024	80380	PDCD1LG2
1.93011334526883	3455	IFNAR2
2.81329505399471	24138	IFIT5
2.78355447021952	7706	TRIM25
4.50526378441497	9235	IL32
3.2233325211743	200316	APOBEC3F
4.85365775389331	9603	NFE2L3
3.49485739987875	7453	WARS
7.76659973834864	685	BTC
2.10692668532243	30844	EHD4
8.0421940549563	118788	PIK3AP1
2.4539396675404	1997	ELF1
4.08538381021587	140876	FAM65C
6.13478621489957	330	BIRC3
3.01847633641058	10678	B3GNT2
-2.30462797005585	146223	CMTM4
4.79985513277408	26157	GIMAP2
2.13993191321168	134429	STARD4
6.79540534404909	3557	IL1RN
5.57617059170747	6354	CCL7
2.28212194879713	6778	STAT6
2.87727659671395	4314	MMP3
3.12738796122622	8797	TNFRSF10A
3.03999294308477	7127	TNFAIP2
5.53671589679121	4005	LMO2
2.16690478026618	10903	MTMR11
7.87803555438931	634	CEACAM1
2.99269605777527	3075	CFH
2.85353891197638	7052	TGM2
2.26992345896734	148932	MOB3C
3.28666065151423	623	BDKRB1
4.73667221009383	6372	CXCL6
6.28877866739315	5920	RARRES3
2.51501309798749	54877	ZCCHC2
2.08468644718584	55106	SLFN12
6.88915153418919	27074	LAMP3
2.99928053093796	10544	PROCR
7.61209246197057	6355	CCL8
3.53255228335105	81622	UNC93B1
3.36197011848932	283298	OLFML1
2.47385250700701	3099	HK2
2.22175968042272	55905	RNF114
2.33484833192883	10906	TRAFD1
3.42816391989029	718	C3
5.34133257407528	11009	IL24
3.06147400849228	272	AMPD3
-2.48475079194859	83989	FAM172A
5.97349350929961	79993	ELOVL7
2.66775844871156	5721	PSME2
3.26443421616975	64332	NFKBIZ
4.8565789307189	7185	TRAF1
3.6968648706199	3106	HLA-B
3.32582787942532	79845	RNF122
-2.61207609709567	1759	DNM1
5.71974365314266	339416	ANKRD45
4.21477560080576	54103	GSAP
4.19880278997366	9246	UBE2L6
1.91833391371676	55802	DCP1A
1.3954248950215	7011	TEP1
4.93656336382114	6096	RORB
2.75432991394828	10791	VAMP5
-1.81641978251286	130074	FAM168B
2.85290797335542	79944	L2HGDH
-1.71074177793219	22929	SEPHS1
2.16604297318413	3717	JAK2
1.99234938644571	65979	PHACTR4
2.26393640819989	5142	PDE4B
2.15924370713867	139324	HDX
