log2FoldChange	ENTREZID	SYMBOL
9.88576234992204	8638	OASL
9.61825728651376	6373	CXCL11
8.90765080275851	4938	OAS1
8.8801587094263	4939	OAS2
7.25715123330192	64135	IFIH1
7.15088181534973	4599	MX1
7.08401678094765	3437	IFIT3
6.77409632426766	4600	MX2
6.57064807752011	129607	CMPK2
6.5542732835012	3433	IFIT2
6.34280849328717	2634	GBP2
6.24096944425716	23586	DDX58
6.14279401638699	91543	RSAD2
5.44766177265266	54625	PARP14
5.27328554718492	85441	HELZ2
5.00336004854957	4940	OAS3
4.67727884417625	162394	SLFN5
4.66157556162785	24138	IFIT5
4.53599973753306	6737	TRIM21
4.36772381098486	57674	RNF213
4.36328636126726	219285	SAMD9L
3.70400346616879	5359	PLSCR1
3.01665407456947	57169	ZNFX1
2.98511392447846	6303	SAT1
2.50677668338666	1848	DUSP6
4.47729049515115	5696	PSMB8
7.72378482464546	3627	CXCL10
3.30094221263391	23424	TDRD7
8.49285863931056	51191	HERC5
5.16004162647437	2635	GBP3
3.89606553688564	83666	PARP9
4.93117038953277	7128	TNFAIP3
3.40200811215355	4792	NFKBIA
8.37915878876122	684	BST2
6.97228869371615	9636	ISG15
3.59507297818612	54809	SAMD9
2.73866720347285	4615	MYD88
3.71052174311454	25939	SAMHD1
4.68731289171108	84875	PARP10
4.81231870148466	7098	TLR3
3.53751684097971	151636	DTX3L
2.38041101027185	8482	SEMA7A
5.4204173461901	2643	GCH1
1.92538664397971	103	ADAR
2.64181016652245	3133	HLA-E
4.45614814186991	6890	TAP1
6.9185519123448	55601	DDX60
4.96234979687057	5055	SERPINB2
3.88662575949446	6781	STC1
6.01185614999601	2537	IFI6
3.85861213453437	55337	C19orf66
2.86742903747106	10475	TRIM38
3.13742691168161	7318	UBA7
3.49784812515422	9830	TRIM14
5.26754033328448	2633	GBP1
3.22306646769415	64761	PARP12
7.44974381324282	3434	IFIT1
3.28259900142758	9111	NMI
4.10762679972126	79132	DHX58
7.44684571015606	55008	HERC6
4.70077013229395	6648, 100129518	SOD2, LOC100129518
3.26500667164591	3959	LGALS3BP
4.96330005613523	400759	GBP1P1
3.77959506705375	197259	MLKL
5.08731913114558	84166	NLRC5
8.09936880351513	10561	IFI44
1.54955577134095	6574	SLC20A1
3.90281692022522	57664	PLEKHA4
2.47331785980195	85025	TMEM60
2.61540770576846	84818	IL17RC
2.76045758105748	23708	GSPT2
2.11950212075502	1267	CNP
2.62193613058987	6773	STAT2
2.02780452695942	6926	TBX3
3.33776427717309	3976	LIF
2.40997509506711	10346	TRIM22
2.96060506564965	7127	TNFAIP2
2.69776354165921	3659	IRF1
3.52648595878428	3589	IL11
4.49008452709031	7412	VCAM1
6.69594780760954	51296	SLC15A3
2.73364348696546	10410	IFITM3
3.20072425221435	93349	SP140L
1.76277361755683	3037	HAS2
2.91623946751343	5371	PML
4.88557106247677	10673	TNFSF13B
6.45773968892063	94240	EPSTI1
1.5537855498006	8467	SMARCA5
1.41826432818901	57561	ARRDC3
4.92832781517715	8743	TNFSF10
2.06819300640414	27348	TOR1B
1.80753513153993	285704	RGMB
2.71271075891704	10318	TNIP1
-1.65497314873097	9493	KIF23
7.99076778897975	3620	IDO1
2.33050845885054	4791	NFKB2
7.23870768563418	259307	IL4I1
-1.56688097454229	4131	MAP1B
7.06741174304146	10964	IFI44L
2.31020986909356	50515	CHST11
6.057764754173	54739	XAF1
-1.66218225004539	7153	TOP2A
1.44408160491053	4790	NFKB1
-1.7006134192168	51088	KLHL5
2.84162177298367	1846	DUSP4
1.9993011617214	8837	CFLAR
-2.12947550353303	147991	DPY19L3
-2.06684662837964	5257	PHKB
1.59257627915553	211	ALAS1
-2.25764515956289	23657	SLC7A11
1.6500457746361	10906	TRAFD1
-2.13731260700977	48	ACO1
5.39021882700504	91351	DDX60L
5.50671233027129	8605	PLA2G4C
2.64370540809065	375790	AGRN
-1.41176915820968	10160	FARP1
1.33361929962762	7162	TPBG
1.39568631447287	51479	ANKFY1
1.89701812004005	11054	OGFR
1.68781837320064	22822	PHLDA1
1.33520304879108	5606	MAP2K3
6.54311299561358	3669	ISG20
2.23947592206632	4343	MOV10
2.89607932128949	85363	TRIM5
2.86525714785828	23338	JADE2
-2.10543970420248	9540	TP53I3
1.24542249839254	3301	DNAJA1
1.84135821150881	3673	ITGA2
1.26235661717613	23070	CMTR1
3.9244692501076	5971	RELB
1.81919194234521	64651	CSRNP1
-1.37780151398729	8761	PABPC4
2.27284542279036	10468	FST
8.17850457271887	11274	USP18
1.9093552650991	29950	SERTAD1
3.30470396969501	4929	NR4A2
1.25703802536461	329	BIRC2
3.68936509117958	3430	IFI35
2.64428119655721	3107	HLA-C
1.74155706945595	7159	TP53BP2
2.55152116393793	65108	MARCKSL1
2.62877657075525	5610	EIF2AK2
1.8891060959835	10135	NAMPT
2.39919515773125	4794	NFKBIE
1.60515276862584	24147	FJX1
1.35673594097323	7424	VEGFC
2.25404845469827	10133	OPTN
3.12468984077545	374	AREG
-1.5232509452599	10112	KIF20A
2.51186481144377	9123	SLC16A3
1.13706228415924	30844	EHD4
2.62401560603781	5142	PDE4B
1.12497045826097	3021	H3F3B
1.41227819963325	51510	CHMP5
2.33013186224659	24145	PANX1
1.66815614441869	5362	PLXNA2
1.55426245441636	25793	FBXO7
5.10043556757561	9068	ANGPTL1
2.1645029350748	55905	RNF114
-1.88707118605193	7184	HSP90B1
3.15653702398413	9536	PTGES
-1.55687089029945	171024	SYNPO2
4.79711270152227	1520	CTSS
1.33571743680888	8061	FOSL1
2.41727040287764	578	BAK1
2.17026575341387	567	B2M
1.72568364918745	6909	TBX2
2.67233466607866	79651	RHBDF2
7.29569061371184	4283	CXCL9
7.73561700730501	439996	IFIT1B
2.78726709231141	9077	DIRAS3
1.68476621015395	22943	DKK1
1.82545375758665	23623	RUSC1
1.80320210774875	55701	ARHGEF40
6.96225885149081	330	BIRC3
2.21833025724053	5721	PSME2
-1.52971223687074	64943	NT5DC2
1.25172470545851	1435	CSF1
2.35722354709977	51251	NT5C3A
-1.26975325533171	3925	STMN1
1.85161144786014	7130	TNFAIP6
-1.6199472679137	6509	SLC1A4
-1.92322094939084	1303	COL12A1
-1.86754195266386	586	BCAT1
-1.88704316818105	55789	DEPDC1B
5.18620086368693	3576	CXCL8
2.00482480163864	51246	SHISA5
1.58603486642113	51667	NUB1
2.12123059683275	54206	ERRFI1
3.71454860685034	146857	SLFN13
6.41157895655313	3800	KIF5C
4.90044482404721	4741	NEFM
4.20631409368668	1890	TYMP
1.57389259472447	56243	KIAA1217
-1.79410550184571	143686	SESN3
-1.69174768558311	54443	ANLN
-1.4775970214909	9133	CCNB2
-1.41837068543849	7037	TFRC
6.87099971680312	79679	VTCN1
1.18117416009941	81603	TRIM8
2.13022277476116	51056	LAP3
4.46390321477552	199920	C1orf168
1.98279996757316	1847	DUSP5
2.9392748659602	163351	GBP6
-1.96087088415254	223117	SEMA3D
2.42274766853551	254228	FAM26E
1.74868602333666	9567	GTPBP1
-1.32733134372929	2177	FANCD2
1.14357118519235	5430	POLR2A
-1.87348233601269	55364	IMPACT
-1.67398383592647	81624	DIAPH3
-1.76981617891179	7267	TTC3
-1.13706876529383	5781	PTPN11
1.78787077400654	389792	IER5L
7.0890302992714	6352	CCL5
1.78147178695255	3660	IRF2
4.19959278759103	5743	PTGS2
-1.49602618189791	253827	MSRB3
-1.72106382868397	23092	ARHGAP26
-1.89580274230415	10026	PIGK
4.57478078987227	55620	STAP2
0.964828876404727	6533	SLC6A6
4.50270903595129	10384	BTN3A3
2.43467660774695	5329	PLAUR
2.91290008796323	650	BMP2
-1.88775039373245	55771	PRR11
2.14032547505006	4061	LY6E
3.24860205001687	57406	ABHD6
1.68524909013475	8726	EED
1.75362933712416	25841	ABTB2
5.61302719425967	3665	IRF7
-1.57052704819823	4642	MYO1D
-1.83022998280492	10516	FBLN5
3.33242662373061	5997	RGS2
1.48285423188948	7422	VEGFA
-1.80994829107332	79573	TTC13
-1.01466613671376	6240	RRM1
1.57412185830963	9267	CYTH1
1.41976234236261	7378	UPP1
1.81920679340556	23585	TMEM50A
-2.42521288947552	158471	PRUNE2
1.39853504150363	7357	UGCG
-1.09853540367621	59277	NTN4
1.66004500549787	56951	C5orf15
1.46516455867171	10231	RCAN2
7.08724413463726	3429	IFI27
-1.09610793389355	10592	SMC2
-2.30021231185303	80055	PGAP1
1.50707688372531	25865	PRKD2
1.10504293582748	960	CD44
1.0993617155559	2683	B4GALT1
2.71001022409786	8013	NR4A3
3.75557939850937	1591	CYP24A1
1.7673056803065	54464	XRN1
-1.76746298597125	1062	CENPE
-0.821183358531575	9793	CKAP5
1.81951995243992	375449	MAST4
-1.61107532484748	135228	CD109
1.47877203664745	219988	PATL1
-1.26549810648849	9585	KIF20B
4.71042027986376	7185	TRAF1
-1.38544553260003	5654	HTRA1
1.3297140365506	598	BCL2L1
1.69729943258078	387921	NHLRC3
1.37101456680987	1540	CYLD
1.87626137705168	81894	SLC25A28
1.84581307887747	55577	NAGK
1.35834861149652	1004	CDH6
6.69023259694818	26157	GIMAP2
0.960962004189492	5970	RELA
1.38660118900026	5899	RALB
1.23961654054015	131566	DCBLD2
-1.03921875888371	8720	MBTPS1
-1.12161844662968	2034	EPAS1
2.0730391151393	25987	TSKU
-2.18303616160833	6196	RPS6KA2
6.41490831086897	146212	KCTD19
-1.02866408159053	5422	POLA1
2.15547566704061	58504	ARHGAP22
1.54915157878873	131601	TPRA1
0.920223817815737	10098	TSPAN5
1.47390411451626	51141	INSIG2
5.29770072394643	57834	CYP4F11
1.59744025781197	23670	TMEM2
0.845309684457826	64750	SMURF2
1.03530560104798	6515	SLC2A3
0.923593259246304	65056	GPBP1
-1.26753863708293	64418	TMEM168
4.64445038217919	161145	TMEM229B
-0.93290991313611	6259	RYK
1.38703488126421	5045	FURIN
1.36002413116518	8553	BHLHE40
2.12397896099804	3460	IFNGR2
1.28366691585124	9683	N4BP1
-1.13897025876049	5955	RCN2
2.80724119723925	8338	HIST2H2AC
2.16810319287822	2983	GUCY1B3
6.27358510210214	3601	IL15RA
4.42047422135711	64167	ERAP2
1.28063368044551	168455	CCDC71L
4.11975413714909	5452	POU2F2
-1.38953789199268	3778	KCNMA1
-1.53752729476377	23078	VWA8
2.26053208016002	56548	CHST7
-1.42106107577551	8754	ADAM9
1.84447940517621	130132	RFTN2
3.15748029226402	3552	IL1A
-1.0893469081037	3843	IPO5
-2.05892115938542	23231	SEL1L3
-0.835038630477733	5797	PTPRM
2.79928817026241	6347	CCL2
1.04004721162538	64771	C6orf106
-1.20265256961399	5591	PRKDC
-1.0512042937411	7296	TXNRD1
4.59893467807458	4071	TM4SF1
-1.45335047005424	3832	KIF11
-2.19316269932208	8644	AKR1C3
1.74210357693553	9766	SUSD6
-0.968053318310073	7812	CSDE1
1.00696091327657	23158	TBC1D9
2.61708632496172	134429	STARD4
-4.27309289944066	3752	KCND3
-1.59069370950086	6129	RPL7
2.31442225241724	6583	SLC22A4
-1.47000025826705	3908	LAMA2
1.15070234328041	64207	IRF2BPL
-1.07887273364893	10257	ABCC4
2.59806384952436	56603	CYP26B1
1.58112705655684	3988	LIPA
-1.27225384859888	5825	ABCD3
1.54268906907978	8676	STX11
1.47895715347299	205428	C3orf58
1.10991847987302	6772	STAT1
1.09895727409848	26118	WSB1
1.28871756364951	283131	NEAT1
-1.26345929304846	8406	SRPX
2.20660937687408	6672	SP100
1.0902593824124	11176	BAZ2A
0.848831397986635	7048	TGFBR2
0.984464871598719	51762	RAB8B
-2.14561874022353	5046	PCSK6
1.80179547960707	6892	TAPBP
-0.843605766588231	4175	MCM6
2.68446753244186	11145	PLA2G16
2.24626575610404	84102	SLC41A2
1.75888768811794	6513	SLC2A1
1.12913676049334	54467	ANKIB1
1.11851935192579	4170	MCL1
-2.33682064632047	7148	TNXB
-1.89730843864058	283383	ADGRD1
-1.27603263948998	2195	FAT1
0.795459055473243	27020	NPTN
2.71396536613171	25780	RASGRP3
1.61494669292223	10678	B3GNT2
-1.84419491989578	51454	GULP1
1.46033215042731	57559	STAMBPL1
-1.1890975987067	6249	CLIP1
1.34793132730514	10019	SH2B3
1.14854884668798	58499	ZNF462
1.49347623851089	3035	HARS
1.75046464416046	3726	JUNB
2.9821284628264	255488	RNF144B
1.63905499227975	2114	ETS2
-1.82632976459318	3454	IFNAR1
1.22303418490221	8324	FZD7
-1.97359551709125	51196	PLCE1
-1.7403503828921	2191	FAP
1.96479471223792	467	ATF3
-1.6084609473687	11075	STMN2
2.58626339235247	84419	C15orf48
-1.18957029362026	6128	RPL6
0.902743542190301	2004	ELK3
4.23337965964417	26045	LRRTM2
-1.48153331462682	138199	CARNMT1
1.37946993209701	2907	GRINA
-1.01294705287439	9631	NUP155
1.21515897906045	51330	TNFRSF12A
-1.45152647672005	79710	MORC4
1.26284113740073	23516	SLC39A14
-1.53728033053363	11260	XPOT
3.08163688905488	154091	SLC2A12
1.17245983201997	56943	ENY2
-1.5056479737882	7345	UCHL1
1.07672126268256	1997	ELF1
-1.45080486561827	5378	PMS1
1.26041848467467	6095	RORA
4.9303871081266	64108	RTP4
2.71913263617255	3732	CD82
5.15528104887297	11035	RIPK3
1.07403359562609	4664	NAB1
2.27778816933417	9050	PSTPIP2
5.33635220231431	59352	LGR6
-1.19461548109593	10403	NDC80
5.02022460431539	340348	TSPAN33
5.76494841891186	5920	RARRES3
1.33374892708172	841	CASP8
6.07829585321813	100506736	SLFN12L
0.929252496666803	93621	MRFAP1
0.932049370657671	23786	BCL2L13
1.25665220694099	23764	MAFF
1.87356214674594	375287	RBM43
2.18404662302132	6041	RNASEL
-1.01636580246107	9652	TTC37
1.53922173157579	10957	PNRC1
