log2FoldChange	ENTREZID	SYMBOL
8.70446783177023	51191	HERC5
8.53144256429886	64135	IFIH1
7.71167429010241	55008	HERC6
7.01971939186449	6372	CXCL6
6.86119676103649	129607	CMPK2
6.82969105989615	3437	IFIT3
5.67728925570071	23586	DDX58
4.22260142524259	25939	SAMHD1
3.75230333913478	5359	PLSCR1
4.84558213427136	3589	IL11
7.54219762243687	91543	RSAD2
5.50814748879039	54809	SAMD9
4.95820178314321	4940	OAS3
5.70836364816441	11274	USP18
7.13583844440894	1520	CTSS
6.78594824245262	219285	SAMD9L
3.74142490543867	83666	PARP9
6.71617566330538	4600	MX2
3.50310715373386	23424	TDRD7
2.55588040282726	10346	TRIM22
9.39625111086606	4283	CXCL9
8.20239662881954	3627	CXCL10
3.32458364511638	3673	ITGA2
6.27924189744386	10673	TNFSF13B
7.71599349520077	3434	IFIT1
3.81325635298731	6890	TAP1
4.08692903420075	91351	DDX60L
2.90931644191994	6772	STAT1
4.75028401258673	64761	PARP12
4.49499198190039	8942	KYNU
3.96548512164751	3133	HLA-E
3.27440579145364	3075	CFH
2.5792729172619	5507	PPP1R3C
5.31179445923194	10561	IFI44
3.32034611527978	9246	UBE2L6
3.92556149341979	6303	SAT1
3.78594461525078	57674	RNF213
4.42510495699079	54739	XAF1
4.05415323035564	24138	IFIT5
3.61899538855521	151636	DTX3L
4.04710492591487	79132	DHX58
4.84080866703042	85441	HELZ2
3.34409477904881	718	C3
2.33880262830632	85363	TRIM5
2.54073328758359	950	SCARB2
2.59229537777884	9603	NFE2L3
2.57750870660023	51251	NT5C3A
4.9764597931901	197259	MLKL
2.59506017349902	10384	BTN3A3
6.67644959983704	4036	LRP2
3.30828230120136	2625	GATA3
8.58818796946504	8638	OASL
8.38105642706406	6373	CXCL11
3.9233165617744	54625	PARP14
4.80553441295471	64167	ERAP2
2.14988586241053	6773	STAT2
2.80393604981573	57169	ZNFX1
2.67455314021586	2791	GNG11
5.0381882431562	1910	EDNRB
6.90221330786247	10964	IFI44L
