log2FoldChange	ENTREZID	SYMBOL
9.31377749131682	4599	MX1
7.45220124837611	129607	CMPK2
7.40638057500009	4939	OAS2
7.21368379488987	64135	IFIH1
5.84729732974895	23586	DDX58
5.53369556946238	85441	HELZ2
5.23039525191597	54625	PARP14
5.14433564255124	79132	DHX58
4.93607068916264	4940	OAS3
4.41543982923811	64761	PARP12
4.19623725699592	151636	DTX3L
4.10093778988924	25939	SAMHD1
3.94963815700329	57674	RNF213
3.51465835387553	4343	MOV10
2.97008929248162	6773	STAT2
2.9651533882651	162394	SLFN5
2.64580787092392	51056	LAP3
2.56036885029305	23424	TDRD7
6.83214320510577	8605	PLA2G4C
8.18618907354694	4938	OAS1
2.72770284819887	57169	ZNFX1
7.62239746762679	3434	IFIT1
2.61371127129118	10475	TRIM38
2.70310330263429	55905	RNF114
4.0046353885459	146857	SLFN13
2.90532670340545	4615	MYD88
-2.69114322978997	48	ACO1
5.47108987125159	91351	DDX60L
4.01841706784874	6737	TRIM21
6.89080709811652	3437	IFIT3
3.74855467513747	83666	PARP9
6.96593492627891	3433	IFIT2
4.23640414453797	3959	LGALS3BP
2.94773506603578	5610	EIF2AK2
4.38665218022504	55337	C19orf66
8.10932497316793	439996	IFIT1B
2.65871495407444	1267	CNP
3.29471354952379	5359	PLSCR1
7.91614428758922	91543	RSAD2
3.46386567447699	1890	TYMP
7.98684681028245	55008	HERC6
2.71022958905762	5371	PML
2.94267817759824	7706	TRIM25
2.60209420489455	5447	POR
2.01084267713545	5720	PSME1
7.76107108508806	51191	HERC5
2.80545370197431	7318	UBA7
7.39028606013031	4600	MX2
3.88787982545208	219285	SAMD9L
4.43777767340398	84875	PARP10
2.58527691162898	10133	OPTN
1.8143669239207	23070	CMTR1
4.68493332691318	400759	GBP1P1
1.97211857129808	103	ADAR
3.53275675395918	57664	PLEKHA4
1.5633920357261	10906	TRAFD1
6.96616077848218	55601	DDX60
2.70195415046409	84818	IL17RC
3.2090309551185	93349	SP140L
4.93420218379785	7098	TLR3
3.03954754790423	6672	SP100
3.28134356058482	5806	PTX3
1.68538627063727	51479	ANKFY1
2.07675494932914	51704	GPRC5B
3.41774733039558	9830	TRIM14
8.07196390548722	3620	IDO1
6.08145350377214	2537	IFI6
6.68700503162909	10964	IFI44L
7.45068940155987	6373	CXCL11
7.20703417933809	8638	OASL
3.80749439990172	7128	TNFAIP3
2.41555773135987	134429	STARD4
2.97604567595888	947	CD34
1.70649205961636	8467	SMARCA5
5.19526189108269	5699	PSMB10
1.90342596487762	27348	TOR1B
3.21736383471194	6891	TAP2
2.70912578088287	23708	GSPT2
2.0603281628891	80216	ALPK1
2.7529553388669	3107	HLA-C
4.50473744489889	1520	CTSS
1.80777236334685	3133	HLA-E
1.85985248673078	56259	CTNNBL1
2.77470737025413	85363	TRIM5
3.6970136666352	3430	IFI35
3.54557891178423	3659	IRF1
1.88456314686067	8837	CFLAR
6.1377861327362	54809	SAMD9
5.74964845667028	684	BST2
1.25512276805881	10628	TXNIP
3.60504966091986	5979	RET
6.65180199923859	10561	IFI44
4.65161413423825	5698	PSMB9
2.0856417366483	9129	PRPF3
6.25127759219137	11274	USP18
5.39140324521342	51296	SLC15A3
5.15640926844634	23037	PDZD2
1.57144070279577	5055	SERPINB2
1.62133962478265	6536	SLC6A9
4.67138911765594	64167	ERAP2
1.3123022100971	6993	DYNLT1
1.54936048215406	30844	EHD4
2.01728350082632	51752	ERAP1
4.09044949632165	6890	TAP1
2.02127591196951	3428	IFI16
1.05185513705951	23258	DENND5A
1.31277018011383	6774	STAT3
1.59426508090435	23158	TBC1D9
7.20577278991396	3627	CXCL10
5.6421585516895	80833	APOL3
1.57434234186201	716	C1S
2.54251529798592	5721	PSME2
2.34416153699741	7726	TRIM26
1.72944514819818	4061	LY6E
3.27270699562016	197259	MLKL
1.5279367835103	2907	GRINA
1.96365499032044	54464	XRN1
-1.6760119953683	990	CDC6
1.74614520188964	219988	PATL1
2.49388291222206	24145	PANX1
1.99440966199752	10154	PLXNC1
3.49148840076529	81622	UNC93B1
4.51640468271164	161145	TMEM229B
1.99194805266585	51667	NUB1
2.27667190584196	10346	TRIM22
2.57906534487832	81894	SLC25A28
4.06495539368054	163351	GBP6
2.77839146084515	51251	NT5C3A
1.75405688848693	7059	THBS3
1.30606861201648	6778	STAT6
1.19730995053132	57194	ATP10A
2.54220083246535	25780	RASGRP3
1.83572429225607	55577	NAGK
4.85858784383451	2635	GBP3
1.83189061782183	6772	STAT1
1.56465235562964	55701	ARHGEF40
