log2FoldChange	ENTREZID	SYMBOL
8.75428894660987	4599	MX1
7.4474835277369	4939	OAS2
6.75863728714075	55601	DDX60
6.24895625508708	3437	IFIT3
5.99427926116102	3433	IFIT2
5.76858488715898	64135	IFIH1
5.31890545205369	23586	DDX58
4.67522884838233	85441	HELZ2
4.09684408735554	4940	OAS3
3.38590322993903	151636	DTX3L
3.2086684276339	3959	LGALS3BP
3.16967660132531	25939	SAMHD1
3.15563696383866	57674	RNF213
2.32072872684247	6773	STAT2
2.0497324163146	57169	ZNFX1
3.58384617526328	79132	DHX58
7.12011461695536	55008	HERC6
3.97114932281089	54625	PARP14
7.59770792177383	3434	IFIT1
1.4828418086447	23070	CMTR1
7.17385519760439	51191	HERC5
2.82551360181346	162394	SLFN5
2.68899777499086	5359	PLSCR1
7.04490678072373	8638	OASL
6.94195475891811	439996	IFIT1B
3.28125530599954	83666	PARP9
2.31737227650865	64761	PARP12
4.89028706060882	94240	EPSTI1
2.94725899585338	5610	EIF2AK2
1.59779040766658	103	ADAR
2.88253229118814	6737	TRIM21
2.16998714239398	10346	TRIM22
2.06655306604231	23424	TDRD7
2.23596269176561	5371	PML
6.23805097940374	10561	IFI44
3.60102313231678	51296	SLC15A3
6.33060234553618	3627	CXCL10
3.56959869356848	91351	DDX60L
5.86786649638913	129607	CMPK2
5.80419861354501	91543	RSAD2
1.71032303407094	55905	RNF114
6.37344270210012	10964	IFI44L
2.27370623043885	84166	NLRC5
2.82357718837287	6890	TAP1
3.86126648543153	2633	GBP1
1.67047843803062	3428	IFI16
3.34054846233373	146857	SLFN13
2.2900607943641	7318	UBA7
1.44611936261938	1267	CNP
2.41456006195249	10410	IFITM3
3.14957982443162	2635	GBP3
3.20237139092243	84875	PARP10
5.79173247866428	4938	OAS1
2.25588347268466	85363	TRIM5
2.19178834429801	93349	SP140L
3.08972213458767	9830	TRIM14
4.93840674834684	2537	IFI6
1.31547336789718	716	C1S
1.7428393766135	4061	LY6E
4.33190857416556	2634	GBP2
5.5836739482208	4600	MX2
3.65055412657346	7098	TLR3
1.55748820876756	10475	TRIM38
1.73893228154489	4615	MYD88
-2.45597673247002	48	ACO1
5.036429901858	9636	ISG15
5.06636074391395	54739	XAF1
5.11407290601203	11274	USP18
2.15221157010324	6672	SP100
3.97879221313974	8605	PLA2G4C
2.07787353971097	7706	TRIM25
2.82366272012795	5696	PSMB8
1.68583952695473	11054	OGFR
1.07713418731713	51479	ANKFY1
3.34158643004171	5699	PSMB10
3.28881657178691	1890	TYMP
1.41292145768006	27348	TOR1B
2.60584089781866	55337	C19orf66
4.70824404267887	54809	SAMD9
2.43182564972939	81622	UNC93B1
4.6525763001553	3665	IRF7
1.65680163579128	51056	LAP3
3.87710552236658	197259	MLKL
0.992630564422263	9440	MED17
1.45706810240997	84818	IL17RC
2.96736742485187	7128	TNFAIP3
4.2512616358162	684	BST2
0.690122761694078	30844	EHD4
1.1940928074466	8837	CFLAR
0.963853842411433	8467	SMARCA5
0.798563893055284	23158	TBC1D9
2.53751054179595	2643	GCH1
2.09604530614657	9111	NMI
1.02850347662079	9683	N4BP1
3.26676056290891	23037	PDZD2
1.15941934152581	9129	PRPF3
1.8114043472014	7130	TNFAIP6
3.01094105886585	400759	GBP1P1
4.22501164619043	6373	CXCL11
2.02850341030155	57664	PLEKHA4
1.18076311759343	5720	PSME1
-1.13469174701007	754	PTTG1IP
1.75384980326005	6772	STAT1
1.00347857704882	3021	H3F3B
1.03461863731918	1848	DUSP6
0.995825187821722	51667	NUB1
1.89239908855409	51251	NT5C3A
1.87393012949347	3659	IRF1
1.63668439258411	5721	PSME2
3.43363824175346	219285	SAMD9L
1.5373659002305	57406	ABHD6
1.37289317681105	3133	HLA-E
3.49222707281651	24138	IFIT5
1.72525485127328	51131	PHF11
3.35036142152901	330	BIRC3
1.01018767759481	51246	SHISA5
-0.780709623511559	3688	ITGB1
1.47996283294669	5447	POR
1.85337805174371	4792	NFKBIA
2.35801351907913	3430	IFI35
-0.696104909537478	3597	IL13RA1
1.91065931141981	6891	TAP2
1.22436769896353	3976	LIF
0.852295933855433	26750	RPS6KC1
0.582521142962854	1435	CSF1
1.74831872990208	25780	RASGRP3
0.843536719831371	25793	FBXO7
1.08567192737205	2332	FMR1
-1.01622776953562	7267	TTC3
0.814014029513328	11176	BAZ2A
-0.59899612473413	116254	GINM1
0.94585889913521	23585	TMEM50A
-0.843960560434255	7184	HSP90B1
1.03509856503165	219988	PATL1
3.44433939655466	80833	APOL3
-0.73654425476021	7037	TFRC
-0.886762005146726	5066	PAM
1.00368454993431	87178	PNPT1
-0.655057999842214	54443	ANLN
3.29388236489655	26157	GIMAP2
0.742158120886031	54676	GTPBP2
1.1979289887542	26270	FBXO6
-0.887712353350622	10159	ATP6AP2
3.49629023613811	9246	UBE2L6
1.16061860071713	3759	KCNJ2
0.54665033553183	81603	TRIM8
1.88532024782619	4343	MOV10
-0.580715268551757	6240	RRM1
-0.419574527818681	7812	CSDE1
0.843167974652991	1969	EPHA2
0.882008682268324	9267	CYTH1
0.753018795096484	1026	CDKN1A
-0.577857252611531	8761	PABPC4
1.06210986273235	254228	FAM26E
0.653327380017048	8763	CD164
2.6791329930387	64167	ERAP2
-0.6266373071821	4124	MAN2A1
0.618992564539622	598	BCL2L1
0.872470884073221	567	B2M
0.530810269581753	57194	ATP10A
1.91828623897446	375790	AGRN
1.10227212993719	6303	SAT1
