log2FoldChange	ENTREZID	SYMBOL
7.90592557460131	64135	IFIH1
7.61806276707069	3433	IFIT2
6.3364462475102	2633	GBP1
5.42857669680476	23586	DDX58
5.3690187179598	6737	TRIM21
5.08432224453917	25939	SAMHD1
5.02751078031876	55601	DDX60
3.78151269560687	6772	STAT1
4.38747618790116	3959	LGALS3BP
3.57414212698201	4615	MYD88
1.76102514063329	6778	STAT6
3.35214467193068	51056	LAP3
3.51091172839454	3106	HLA-B
2.76494643253219	961	CD47
3.78702382431622	3107	HLA-C
3.5925392255703	6773	STAT2
5.92418339897038	7128	TNFAIP3
5.25684601560202	388646	GBP7
3.01629375273299	9567	GTPBP1
3.28843866270016	6303	SAT1
3.27068409842437	64116	SLC39A8
3.90241542223732	23424	TDRD7
4.29767616765147	9881	TRANK1
4.09899719771312	7318	UBA7
2.40735642317243	23515	MORC3
2.54653951444745	55905	RNF114
4.19129396331289	8767	RIPK2
2.78816796553314	710	SERPING1
3.93587798807766	51667	NUB1
1.46964474526517	8467	SMARCA5
7.234782630065	4599	MX1
4.05687028026095	716	C1S
2.71065943311725	5464	PPA1
2.83216617170094	23516	SLC39A14
3.9887951854043	5359	PLSCR1
3.07224372843207	4343	MOV10
1.82849228137946	2332	FMR1
9.45519064837002	1993	ELAVL2
4.09825092456692	151636	DTX3L
4.0906834561287	81622	UNC93B1
4.73945143874586	91351	DDX60L
2.10796591797882	5686	PSMA5
1.93348358755366	10906	TRAFD1
4.71739009602869	3659	IRF1
1.67566704884707	5396	PRRX1
3.97802474069629	715	C1R
5.35111850828482	6648, 100129518	SOD2, LOC100129518
7.3869325318686	4600	MX2
3.93065869183125	4495	MT1G
1.88432320892769	219988	PATL1
2.00909565953632	10010	TANK
2.93018646035299	3137	HLA-J
5.39967028952198	79132	DHX58
7.94524258364002	3437	IFIT3
8.97687526385572	5979	RET
3.0317258027386	64761	PARP12
3.07390457394058	2717	GLA
4.42107054704699	4792	NFKBIA
2.2831686514874	329	BIRC2
2.52652271471418	84102	SLC41A2
-1.13291876961599	1278	COL1A2
2.68615567032234	10135	NAMPT
5.46390121240959	814	CAMK4
4.57232965547616	3037	HAS2
5.29731937311993	163351	GBP6
4.21318091846338	7726	TRIM26
1.85266898781773	79572	ATP13A3
3.19884840094037	162394	SLFN5
3.90588749573743	54625	PARP14
3.15392258026669	25793	FBXO7
1.99643261504602	64645	MFSD14A
-1.83766193495999	3908	LAMA2
1.61905939675814	4999	ORC2
8.83956823701329	6352	CCL5
2.17057938695609	25865	PRKD2
5.7720812131506	8995	TNFSF18
1.7183149621997	9683	N4BP1
2.29107060830189	11259	FILIP1L
2.57840041927811	2752	GLUL
2.69772079301744	94	ACVRL1
7.75720240298764	7185	TRAF1
